description,claimType
There was a leak from a pipe in the attic which caused water to pass down to the ground floor causing damage.,BURSTPIPE
Leak in the heating circuit causing loss of pressure and leak through ceiling in kitchen.,ESCAPEWATER
The key has broken in the front door,LOSTKEY
Burst pipe in roof space above kitchen and bathroom. Videos available of burst pipe.,BURSTPIPE
Burst pipe under sink and downstairs water damage for carpets. ,BURSTPIPE
The boiler isn’t working at the property. This is an emergency please can someone have a look at this? ,BOILER
Fire in chimney causing structural and electrical damage as well as cosmetic,FIRE
"I have woken up today, 15/12/2022 and my Worcester boiler is leaking water from the right hand side. The water leak is excessive and there is water in the hallway. I have a 2 year old and a new born baby and require urgent help to fix the issue in this cold weather.",BOILER
Yesterday I noticed a wet patch coming through the floor in my hallway - I fear a pipe has burst beneath the floor and water is escaping.,ESCAPEWATER
There was water leaking into our bathroom through the chimney and into my childrens bathroom through the beam in their bathroom. The chimney is also leaking into the sitting room fireplace,FLOOD
"Burst pipe under kitchen sink, resulting in downstairs flood. Carpets and flooring damaged.",BURSTPIPE
Boiler not working.  It was working yesterday. ,BOILER
Out for the day and returned to find the house was flooded. Think it is a leak from the loft and this has flooded the ground and top floor. Called emergency plumber. My wife has dementia and I have heart failure and so need assistance urgently.,BURSTPIPE
"cracking on my walls in the kitchen ,dining room, bathroom, bedroom and hallways  , i am raising this even though the damage is not yet very large as i can see them growing and due to the history of there having recently been an issue within the last year and its all just been decorated after that so i can see all the damage is new . not all the damage can be shown on the pictures as some of the cracking is still small and wont show up on a picture, it will need a full assessment to see it fully in person ",SUBSIDENCE
"Someone broke into the house, smashed a window and stole some of our belongings.",BURGLARY
"boiler has stopped working there is no hot water or heating, i have looked and it says ignition error. I want to claim on home emergency ",BOILER
At some point whilst out I noticed that my wedding ring was missing.  The wedding ring was definitely on my finger when I left the house. I have retraced my steps and searched everywhere but the ring is missing. I suspect that due to the extreme cold my finger shrunk and the ring became loose. I must have not noticed that I had dropped it due to snow on the ground. As soon as I noticed that the ring was missing I immediately retraced my steps searching for the ring but could not find it. ,LOSSSPECIFIED
I have returned home to no water. The pressure I have in the boiler is lowering so unable to use heating at below minus temperatures and I have 2 young children in my care. ,BOILER
Burst central heating pipe upstairs and water has run downstairs ruining the ceiling and a stud partition wall and settled under my laminate flooring in my living/dining room,BURSTPIPE
My girlfriend had come from work with our daughter and the whole house was flooded from a burst pipe in the loft we think and the landing ceiling is about to cave in the carpets walls and wooden floor through the house is ruined the dining table is ruined the walls and all the floors and skirting boards two kitchen chairs and understairs cupboard and ceiling in there is cracked and damaged part of kitchen and patio doors are leaking water from above and also kitchen ceiling has some damage in a corner. Upstairs light fixings ruined and damaged  and bathroom ceiling and spotlights  and kitchen spotlights are all ruined and all are flickering and we are worried as we also have a 14 month daughter and we are really worried for her safety incase any harm is caused to due to the damage within the house ,BURSTPIPE
I am not getting running water in my kitchen only and I think this is because the pipes have frozen due to the cold weather ,BURSTPIPE
Boiler is not working.  No hot water and no heating.  I request an urgent response as i have a 5 year old child and a 10 months old baby at the property. ,BOILER
I have water coming up through my kitchen floor ,ESCAPEWATER
"No hot water and heating, we have a vulnerable person and a poorly toddler in the house",BOILER
"As we  came into the house we seen water pouring out of the ceilings,through the floors .Upon checking  quickly up the stairs , we've seen that water was pouring out from the ceiling trough the lights and all over the upper floor ceilings, contact's and lights. We quickly turned off the water, and called an emergency plumber that came withing the hour and said that it was a pipe, that had bursted in the attic and was flooding  the top and bottom floors,. Water was coming with lots of presure across the house causing lots of damage to the house ceilings,walls,floors,furniture,electronics and privat belongings.We called an emergency electrician who said upon checking that the eletric instalation is affected in many rooms(full of water)",BURSTPIPE
Boiler was leaking over kitchen and Scottish gas have condemned it,ESCAPEWATER
"Water damage to ceiling, carpets and contents caused by frozen waste pipe causing bath water to back up into shower in adjacent room, causing flooding and collapse of ceiling",BURSTPIPE
My toddler turned on the tap in the bathroom  flooding our bathroom floor and part of the bedroom. This has leaked down to the flat on the ground floor. We are on the third floor. The family in the flat below are away so we can't access the damage at the moment. I will get photos shortly.,ADBUILDINGS
